tx_hash,timestamp,from,to,block_number,compounder,min_assets
0x59e5449aecaf7971ca056fba793adffd089159750e6dd17c6ddacf4213b328ee,1766811347,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24101716,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,65699654770853092867
0x0740fd6d2974c8a131510c6f0e5a09a15d630b0759ce020aaf60b132b2407879,1766801255,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24100880,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,76170855630678346133
0xd73197225c8d6c7be43df905791bfbaa30887a90cce7fee151c63869e332eaa3,1766789291,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24099889,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,74845796961108449918
0xe5f037c19c70d9f4bb7ef178479f27b7baeddb8829c5cbc9899051b1f035bba4,1766778095,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24098960,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,66322919526847103549
0x9c926b59452260a7f11afaafe0b2dfc3367492a27d6f268431c9eac809de1c37,1766768207,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24098139,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,72486461951397576579
0x3fae43d17e0c16a9858a28b98a6988c2e6eb80548d7a28faac789bd8e2d69f00,1766757359,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24097241,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,165702501735552932320
0xcc3a99cb2940c76fed2a2ff3f889302beca27b5341482ef6d499112d47e56137,1766732207,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24095154,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,75822486267665386339
0xb5a52e3363a3150c95b2335a4cda051fba4fdff4b509e3f48466b70ca61d942f,1766720855,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24094214,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,71603597150351870679
0xd81d6a5b8a4fe8cc1de0c0af22415f5daa6117eff2f54e94382f3974f7df72d2,1766710103,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24093322,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,72513367937187671874
0x17c0f6567f9a49d51ea4d64285bcb15a045e81b07e5b151fe10ff0ca8c9e801a,1766699699,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24092460,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,70940964361716161880
0xfd60b8e560410bbe47085c4f81f84720b381f0149654c7d1995207bcecfe3812,1766689187,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24091589,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,66121318151717071738
0x998be36a8d1fe488e0a2c3e20a9ec523703b5d2ff108af68d5c9d41ddcb49bf9,1766679431,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24090777,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,110801454457435176045
0xc2beb7e50e514b2377bb40afd0773db356d8c005819653d6cf6ea43c049cdae4,1766663027,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24089417,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,78981158551391862652
0xd2bda91e7da61449184eb751fbe3f2bf70a0c1d7788df51a9e0ec7bc7a65f7d1,1766651471,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24088461,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,79468551633906065925
0x4c563ce79f547c68612433a162192094f4a80fd7a951cb2a9cba188c7d1ff8f3,1766639543,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,24087471,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,65170084493416219326
