job,type,selector,target,subkey,out_token,out_token_addr,calls_7d,gap_s_p50,gas_used_p50,gas_used_cv,m_token_per_eth_p50,m_token_per_eth_cv,k_token_per_wei_p50,k_token_per_wei_p50_from_receipt,roi_usd_p50,roi_usd_cv,yield_usd_p50,tx_cost_usd_p50,tier_usd_roi
aFXN,compounder,0x04117561,0x00bac667a4ccf9089ab1db978238c555c4349545,,cvxFXN,0x183395dbd0b5e93323a7286d1973150697fffcb3,206,2580.0,1151936,0.05641988716866256,20697.660627466576,0.02359033454643309,2.3325783530365643e-08,2.384239074139165e-08,180.88542559388017,0.06522602317564764,17.21868692596782,0.09421226894850385,T3 (150-1000)
abcCVX,compounder,0x04117561,0xdec800c2b17c9673570fdf54450dc1bd79c8e359,,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,160,3384.0,1723428,0.021780680153147196,155044.9024123681,0.029301672105868384,2.679326670652168e-07,2.6720880359719393e-07,92.83186686733997,0.03096879437093917,13.033762473517505,0.13962966666422436,T2 (70-150)
aCRV,compounder,0x04117561,0x2b95a1dcc3d405535f9ed33c219ab38e8d7e0884,,cvxCRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,156,3456.0,1187096,0.0362106923415687,1717055.404498533,0.02756076031179079,2.0710946913486115e-06,2.038310460986293e-06,90.29664717339232,0.04135881116537044,8.947640776162746,0.09651700795665119,T2 (70-150)
aCVX,compounder,0x04117561,0xb0903ab70a7467ee5756074b31ac88aebb8fb777,,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,106,5196.0,842862,0.06103299406124669,151490.99598116867,0.028376769919935412,1.2081332890586892e-07,1.2768600385467978e-07,84.70742553987685,0.06586853921931277,6.038855849704287,0.06782576213019544,T2 (70-150)
asdCRV,compounder,0x04117561,0x43e54c2e7b3e294de3a155785f52ab49d87b9922,,sdCRV,0xd1b5651e55d4ceed36251c61c50c889b36f6abb5,80,6768.0,1229470,0.003467265006562973,22957138.997125503,0.029329023149941586,2.911393463372098e-05,2.822512516136539e-05,1853.1629037102466,0.013232036321304179,182.7254352492112,0.09868615813560164,T4 (>=1000)
asdPENDLE,compounder,0x04117561,0x606462126e4bd5c4d153fe09967e4c46c9c7fecf,,sdPENDLE,0x5ea630e00d6ee438d3dea1556a110359acdc10a9,64,8460.0,879912,0.012212285609712492,3008307.9981903373,0.058490124660176016,2.6472372461099564e-06,2.6470463073036564e-06,1901.6666542926866,0.05005664683427438,132.71595981615394,0.0691404106682921,T4 (>=1000)
ConcentratorGeneralVault(3),vault,0xc7f884c6,0x59866ec5650e9ba00c51f6d681762b48b0ada3de,3,cvxCRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,37,15468.0,1229298,0.03413399251979285,665232.525165346,0.023371252598431074,8.300680808425136e-07,8.17769345336972e-07,36.3386619045516,0.05829150619109044,3.455334570619762,0.09497149747239167,T1 (<70)
arUSD(base),fxusd,0x78f26f5b,0x549716f858aeff9cb845d4c78c67a7599b0df240,,weETH,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,33,17628.0,2113891,0.028358256485728588,170.65429568322554,0.01667088882602769,3.614328054457643e-10,3.607445797561093e-10,185.2868721952489,0.029311269468330403,30.588879518322766,0.16307406404720182,T3 (150-1000)
AladdinCRVConvexVault(50),vault,0xc7f884c6,0x3cf54f3a1969be9916dad548f3c084331c4450b5,50,cvxCRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,31,18282.0,1294800,0.07831064364554811,847255.1603639782,0.07505823959596915,1.1132620494822822e-06,1.0970255580116988e-06,45.38754101636206,0.039948349584679375,4.613280331510052,0.09957317291291788,T1 (<70)
AladdinCRVConvexVault(5),vault,0xc7f884c6,0x3cf54f3a1969be9916dad548f3c084331c4450b5,5,cvxCRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,20,30300.0,1265350,0.05752515245551255,872581.6515299547,0.0759721732321221,1.095455536708341e-06,1.1041207564726025e-06,45.60174402909598,0.03500663896440096,4.433077636738147,0.09524998538441286,T1 (<70)
